Mach	NBD_0k	NBD_5k	NBD_10k NBD_20k FBD_0k  FBD_5k	FBD_10k	FBD_20k
0.0	0.233	0.276	0.3003	0.390	0.357	0.418	0.442   0.532
0.5	0.22	0.246	0.267	0.345	0.35	0.383	0.404	0.482
0.8	0.212	0.228	0.247	0.318	0.346	0.362	0.381   0.452
0.99 0.323	0.338   0.356   0.424   0.500   0.515   0.530   0.601
1.2	0.36	0.371	0.387	0.444	0.55	0.564	0.580   0.637
1.8	0.277	0.262	0.262	0.324	0.437	0.442	0.435   0.484
2.0	0.263	0.247	0.26	0.306	0.410	0.394	0.407   0.457
3.0	0.21	0.197	0.207	0.245	0.305	0.292	0.302   0.34
4.0	0.175	0.166	0.175	0.207	0.240	0.231	0.240   0.272
5.0	0.151	0.145	0.153	0.18	0.191	0.185	0.193   0.22
6.0	0.136	0.13	0.137	0.161	0.163	0.157	0.164   0.188
7.0 0.12    0.118   0.13    0.153   0.140   0.135   0.155   0.16
