Mach	NBD_0k	NBD_10k	NBD_20k	FBD_0k	FBD_10k	FBD_20k	FBD_30k	FBD_40k
0	0.3465	0.393	0.486	0.401	0.4465	0.537	0.683	0.915
0.5	0.314	0.353	0.431	0.366	0.404	0.482	0.603	0.79
0.7	0.301	0.337	0.409	0.352	0.387	0.46	0.571	0.74
0.95	0.35	0.384	0.435	0.408	0.442	0.511	0.617	0.77
1.01	0.4	0.432	0.498	0.469	0.502	0.569	0.671	0.825
1.2	0.44	0.467	0.524	0.511	0.539	0.597	0.684	0.815
1.5	0.422	0.448	0.501	0.49	0.515	0.568	0.648	0.77
2	0.358	0.381	0.428	0.413	0.436	0.483	0.555	0.663
3	0.27	0.288	0.326	0.305	0.324	0.362	0.421	0.511
4	0.215	0.231	0.263	0.24	0.255	0.287	0.337	0.415
5	0.176	0.189	0.216	0.191	0.204	0.231	0.274	0.344
