Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,373.46,0,0,0,0
0.05,1.0988e-05,0.0001256,0.447,0.0013139,19171,41.333,373.46,9.0086,250.16,0.23297,0.00012288
0.1,3.1036e-05,0.00035474,2.5216,0.0074118,19181,41.419,373,9.0086,250.26,0.23297,0.0001224
0.15,6.0162e-05,0.00068765,4.6004,0.013522,19190,41.506,372.55,9.0086,250.36,0.23281,0.0038949
0.2,9.8384e-05,0.0011245,6.6836,0.019646,19198,41.589,372.1,9.0086,250.45,0.23265,0.012964
0.25,0.00014572,0.0016656,8.771,0.025782,19205,41.669,371.65,9.0086,250.53,0.23249,0.027362
0.3,0.00020219,0.002311,10.862,0.03193,19213,41.751,371.2,9.0086,250.61,0.23233,0.04712
0.35,0.0002678,0.003061,12.958,0.038089,19218,41.827,370.75,9.0086,250.68,0.23217,0.072265
0.4,0.00034259,0.0039158,15.057,0.044261,19224,41.905,370.3,9.0086,250.74,0.23201,0.10283
0.45,0.00042655,0.0048755,17.161,0.050444,19230,41.981,369.85,9.0086,250.8,0.23185,0.13884
0.5,0.00051971,0.0059404,19.268,0.056638,19237,42.062,369.4,9.0086,250.88,0.23169,0.18031
0.55,0.00062209,0.0071106,21.379,0.062845,19241,42.133,368.95,9.0086,250.92,0.23153,0.22729
0.6,0.00073371,0.0083863,23.493,0.069062,19247,42.21,368.5,9.0086,250.99,0.23137,0.27979
0.65,0.00085456,0.0097677,25.612,0.075291,19251,42.28,368.05,9.0086,251.02,0.2312,0.33784
0.7,0.00098778,0.011255,27.734,0.081531,19256,42.355,367.6,9.0086,251.08,0.23104,0.40147
0.75,0.0011336,0.012848,29.865,0.087798,19261,42.419,367.15,9.0086,251.12,0.23088,0.47068
0.8,0.0012922,0.014548,32,0.094076,19265,42.482,366.7,9.0086,251.17,0.23072,0.54572
0.85,0.0014639,0.016354,34.139,0.10037,19269,42.544,366.25,9.0086,251.2,0.23055,0.62643
0.9,0.0016488,0.018266,36.281,0.10667,19274,42.609,365.8,9.0086,251.25,0.23039,0.71284
0.95,0.0018471,0.020285,38.427,0.11298,19278,42.672,365.35,9.0086,251.29,0.23023,0.80496
1,0.0020591,0.022411,40.577,0.1193,19283,42.737,364.9,9.0086,251.34,0.23006,0.90283
1.05,0.0022848,0.024644,42.73,0.12563,19287,42.801,364.45,9.0086,251.38,0.2299,1.0065
1.1,0.0025246,0.026985,44.887,0.13198,19291,42.865,364,9.0086,251.41,0.22973,1.1159
1.15,0.0027785,0.029432,47.048,0.13834,19295,42.928,363.55,9.0086,251.45,0.22957,1.2311
1.2,0.0030467,0.031987,49.212,0.1447,19301,42.995,363.1,9.0086,251.5,0.2294,1.3521
1.25,0.0033295,0.03465,51.38,0.15108,19304,43.056,362.64,9.0086,251.53,0.22924,1.479
1.3,0.0036268,0.03742,53.551,0.15747,19307,43.119,362.19,9.0086,251.56,0.22907,1.6118
1.35,0.003939,0.040298,55.726,0.16387,19311,43.183,361.74,9.0086,251.59,0.22891,1.7504
1.4,0.0042661,0.043285,57.904,0.17029,19315,43.246,361.29,9.0086,251.63,0.22874,1.895
1.45,0.0046084,0.046379,60.086,0.17671,19319,43.31,360.84,9.0086,251.66,0.22857,2.0454
1.5,0.0049658,0.049583,62.272,0.18314,19323,43.373,360.39,9.0086,251.69,0.22841,2.2018
1.55,0.0053386,0.052894,64.461,0.18959,19328,43.439,359.94,9.0086,251.73,0.22824,2.3642
1.6,0.005727,0.056315,66.654,0.19604,19332,43.502,359.49,9.0086,251.76,0.22807,2.5325
1.65,0.006131,0.059844,68.85,0.20251,19336,43.566,359.04,9.0086,251.79,0.2279,2.7069
1.7,0.0065508,0.063483,71.05,0.20899,19340,43.631,358.59,9.0086,251.83,0.22774,2.8872
1.75,0.0069865,0.067231,73.253,0.21548,19344,43.695,358.14,9.0086,251.86,0.22757,3.0736
1.8,0.0074382,0.071088,75.46,0.22198,19348,43.759,357.69,9.0086,251.89,0.2274,3.266
