Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.92,0,0,0,0
0.01,3.0977e-07,8.8706e-06,0.447,0.0013139,857.65,44.033,15.92,0.24,364.4,0.259,0.00012288
0.02,7.8043e-07,2.2348e-05,0.8876,0.002609,890.03,46.074,15.918,0.24,378.16,0.259,0.0001224
0.03,1.4191e-06,4.0638e-05,1.3486,0.0039641,922.41,48.115,15.915,0.24,391.92,0.25901,0.00048262
0.04,2.2329e-06,6.3943e-05,1.8301,0.0053792,954.78,50.157,15.913,0.24,405.67,0.25901,0.0011142
0.05,3.2197e-06,9.22e-05,2.3319,0.0068544,944.47,49.518,15.91,0.24,401.29,0.25902,0.0020516
0.06,4.3771e-06,0.00012535,2.8274,0.0083108,934.16,48.879,15.908,0.24,396.91,0.25902,0.0033312
0.07,5.703e-06,0.00016331,3.3165,0.0097485,923.85,48.239,15.906,0.24,392.53,0.25903,0.0048972
0.08,7.1952e-06,0.00020604,3.7992,0.011167,913.54,47.6,15.903,0.24,388.15,0.25903,0.0067379
0.09,8.8543e-06,0.00025355,4.2755,0.012567,917.11,47.832,15.901,0.24,389.67,0.25904,0.0088419
0.1,1.0681e-05,0.00030587,4.7541,0.013974,920.68,48.064,15.898,0.24,391.18,0.25904,0.011198
0.11,1.2677e-05,0.00036302,5.235,0.015388,924.25,48.296,15.896,0.24,392.7,0.25905,0.013845
0.12,1.4842e-05,0.00042502,5.7183,0.016808,927.82,48.529,15.894,0.24,394.22,0.25905,0.016788
0.13,1.7176e-05,0.00049186,6.2039,0.018236,925.64,48.399,15.891,0.24,393.29,0.25906,0.02003
0.14,1.9679e-05,0.00056353,6.6882,0.019659,923.46,48.27,15.889,0.24,392.36,0.25906,0.023576
0.15,2.235e-05,0.00064001,7.1711,0.021079,921.28,48.14,15.886,0.24,391.44,0.25907,0.027401
0.16,2.5188e-05,0.0007213,7.6528,0.022495,919.1,48.01,15.884,0.24,390.51,0.25907,0.031501
0.17,2.8194e-05,0.00080738,8.1332,0.023907,919.22,48.025,15.882,0.24,390.56,0.25907,0.035875
0.18,3.1368e-05,0.00089827,8.6138,0.025319,919.35,48.04,15.879,0.24,390.62,0.25908,0.040519
0.19,3.471e-05,0.00099396,9.0945,0.026732,919.47,48.055,15.877,0.24,390.67,0.25908,0.045449
0.2,3.822e-05,0.0010945,9.5753,0.028146,919.6,48.07,15.874,0.24,390.72,0.25909,0.050662
0.21,4.1897e-05,0.0011998,10.056,0.02956,918.87,48.031,15.872,0.24,390.41,0.25909,0.056161
0.22,4.5742e-05,0.0013099,10.537,0.030972,918.14,47.992,15.87,0.24,390.1,0.2591,0.061944
0.23,4.9754e-05,0.0014248,11.017,0.032384,917.41,47.953,15.867,0.24,389.79,0.2591,0.068005
0.24,5.3934e-05,0.0015445,11.497,0.033794,916.68,47.914,15.865,0.24,389.48,0.25911,0.074344
0.25,5.8281e-05,0.0016689,11.976,0.035204,916.36,47.9,15.862,0.24,389.35,0.25911,0.08096
0.26,6.2795e-05,0.0017982,12.456,0.036612,916.04,47.886,15.86,0.24,389.21,0.25912,0.087852
0.27,6.7476e-05,0.0019323,12.935,0.038021,915.72,47.872,15.858,0.24,389.07,0.25912,0.095023
0.28,7.2325e-05,0.0020711,13.414,0.039429,915.39,47.858,15.855,0.24,388.94,0.25913,0.10247
0.29,7.734e-05,0.0022147,13.893,0.040837,914.93,47.835,15.853,0.24,388.74,0.25913,0.1102
0.3,8.2523e-05,0.0023631,14.371,0.042244,914.46,47.812,15.85,0.24,388.54,0.25914,0.11821
0.31,8.7872e-05,0.0025163,14.85,0.04365,913.99,47.788,15.848,0.24,388.34,0.25914,0.12649
0.32,9.3388e-05,0.0026743,15.328,0.045056,913.52,47.765,15.846,0.24,388.14,0.25915,0.13505
