Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,15.161,0,0,0,0
0.0025,2.5207e-07,1.1859e-06,0.447,0.0013139,382.17,14.851,15.161,0.19464,200.22,0.259,0.00012288
0.005,5.402e-07,2.5415e-06,0.48496,0.0014255,572.73,27.147,15.16,0.29169,200.22,0.259,0.0001224
0.0075,8.7649e-07,4.1235e-06,0.55434,0.0016294,713.67,36.242,15.159,0.36347,200.22,0.259,0.00014407
0.01,1.2736e-06,5.9917e-06,0.64697,0.0019017,861.28,45.77,15.158,0.43864,200.22,0.25901,0.00018824
0.0125,1.7371e-06,8.1723e-06,0.76395,0.0022455,926.69,49.995,15.157,0.47196,200.22,0.25901,0.00025641
0.015,2.2704e-06,1.0682e-05,0.89173,0.0026211,966.67,52.58,15.156,0.49232,200.22,0.25901,0.00035752
0.0175,2.8758e-06,1.353e-05,1.0261,0.0030161,991.96,54.218,15.155,0.5052,200.22,0.25901,0.00048712
0.02,3.5547e-06,1.6723e-05,1.1647,0.0034235,1008.6,55.295,15.154,0.51366,200.22,0.25901,0.00064501
0.0225,4.3079e-06,2.0267e-05,1.306,0.0038389,1019.7,56.018,15.152,0.51931,200.22,0.25901,0.00083098
0.025,5.1362e-06,2.4164e-05,1.4492,0.0042597,1027.2,56.507,15.151,0.52313,200.22,0.25901,0.0010449
0.0275,6.0401e-06,2.8416e-05,1.5936,0.0046842,1032.3,56.846,15.15,0.52576,200.22,0.25901,0.0012865
0.03,7.0198e-06,3.3025e-05,1.7389,0.0051113,1035.8,57.078,15.148,0.52755,200.22,0.25902,0.0015557
0.0325,8.0755e-06,3.7992e-05,1.8848,0.0055401,1038.3,57.24,15.147,0.52878,200.22,0.25902,0.0018523
0.035,9.2074e-06,4.3317e-05,2.0311,0.0059701,1040,57.356,15.146,0.52965,200.22,0.25902,0.0021762
0.0375,1.0416e-05,4.9002e-05,2.1777,0.006401,1041.1,57.432,15.144,0.5302,200.22,0.25902,0.0025271
0.04,1.17e-05,5.5045e-05,2.3245,0.0068325,1041.9,57.492,15.143,0.53063,200.22,0.25902,0.0029051
0.0425,1.3061e-05,6.1448e-05,2.4714,0.0072644,1042.4,57.532,15.142,0.5309,200.22,0.25902,0.0033099
0.045,1.4499e-05,6.8211e-05,2.6184,0.0076966,1042.7,57.557,15.14,0.53105,200.22,0.25902,0.0037416
0.0475,1.6013e-05,7.5334e-05,2.7656,0.008129,1043,57.579,15.139,0.53118,200.22,0.25903,0.0042001
0.05,1.7603e-05,8.2816e-05,2.9127,0.0085616,1043.1,57.595,15.138,0.53126,200.22,0.25903,0.0046852
0.0525,1.927e-05,9.0659e-05,3.0599,0.0089942,1043.2,57.606,15.137,0.5313,200.22,0.25903,0.0051971
0.055,2.1014e-05,9.8862e-05,3.2072,0.009427,1043.3,57.615,15.135,0.53133,200.22,0.25903,0.0057357
0.0575,2.2834e-05,0.00010742,3.3544,0.0098599,1043.2,57.618,15.134,0.53131,200.22,0.25903,0.006301
0.06,2.473e-05,0.00011635,3.5017,0.010293,1043.3,57.625,15.133,0.53132,200.22,0.25903,0.0068929
0.0625,2.6704e-05,0.00012563,3.649,0.010726,1043.2,57.629,15.131,0.5313,200.22,0.25903,0.0075113
0.065,2.8753e-05,0.00013527,3.7962,0.011159,1043.2,57.634,15.13,0.53129,200.22,0.25904,0.0081565
