Time(s)	Thrust(kN)	x-CoM(m)	Ixx	Izz	Total_Mass (Mg)
0	0	1.666	1.05	182	0.146
0.0002	0	1.666001781	1.049996119	181.9995224	0.145999224
0.0004	0	1.666003562	1.049992239	181.9990448	0.145998448
0.0006	0	1.666005343	1.049988358	181.9985672	0.145997672
0.0008	0	1.666007124	1.049984478	181.9980896	0.145996896
0.001	0	1.666008906	1.049980597	181.9976119	0.145996119
0.0012	0	1.666010687	1.049976716	181.9971343	0.145995343
0.0014	0	1.666012468	1.049972836	181.9966567	0.145994567
0.0016	0	1.666014249	1.049968955	181.9961791	0.145993791
0.0018	0	1.66601603	1.049965075	181.9957015	0.145993015
0.002	0	1.666017811	1.049961194	181.9952239	0.145992239
0.0022	0	1.666019592	1.049957313	181.9947463	0.145991463
0.0024	0	1.666021373	1.049953433	181.9942687	0.145990687
0.0026	0	1.666023154	1.049949552	181.993791	0.14598991
0.0028	0	1.666024935	1.049945672	181.9933134	0.145989134
0.003	0	1.666026716	1.049941791	181.9928358	0.145988358
0.0032	0	1.666028498	1.04993791	181.9923582	0.145987582
0.0034	0	1.666030279	1.04993403	181.9918806	0.145986806
0.0036	0	1.66603206	1.049930149	181.991403	0.14598603
0.0038	0	1.666033841	1.049926269	181.9909254	0.145985254
0.004	0	1.666035622	1.049922388	181.9904478	0.145984478
0.0042	0	1.666037403	1.049918508	181.9899701	0.145983702
0.0044	0	1.666039184	1.049914627	181.9894925	0.145982925
0.0046	0	1.666040965	1.049910746	181.9890149	0.145982149
0.0048	0	1.666042746	1.049906866	181.9885373	0.145981373
0.005	0	1.666044527	1.049902985	181.9880597	0.145980597
0.0052	0	1.666046309	1.049899105	181.9875821	0.145979821
0.0054	0	1.66604809	1.049895224	181.9871045	0.145979045
0.0056	0	1.666049871	1.049891343	181.9866269	0.145978269
0.0058	0	1.666051652	1.049887463	181.9861493	0.145977493
0.006	0	1.666053433	1.049883582	181.9856716	0.145976716
0.0062	0	1.666055214	1.049879702	181.985194	0.14597594
0.0064	0	1.666056995	1.049875821	181.9847164	0.145975164
0.0066	0	1.666058776	1.04987194	181.9842388	0.145974388
0.0068	0	1.666060557	1.04986806	181.9837612	0.145973612
0.007	0	1.666062338	1.049864179	181.9832836	0.145972836
0.0072	0	1.666064119	1.049860299	181.982806	0.14597206
0.0074	0	1.666065901	1.049856418	181.9823284	0.145971284
0.0076	0	1.666067682	1.049852537	181.9818507	0.145970507
0.0078	0	1.666069463	1.049848657	181.9813731	0.145969731
0.008	0	1.666071244	1.049844776	181.9808955	0.145968955
0.0082	0	1.666073025	1.049840896	181.9804179	0.145968179
0.0084	0	1.666074806	1.049837015	181.9799403	0.145967403
0.0086	0	1.666076587	1.049833134	181.9794627	0.145966627
0.0088	0	1.666078368	1.049829254	181.9789851	0.145965851
0.009	0	1.666080149	1.049825373	181.9785075	0.145965075
0.0092	0	1.66608193	1.049821493	181.9780299	0.145964299
0.0094	0	1.666083711	1.049817612	181.9775522	0.145963522
0.0096	0	1.666085493	1.049813731	181.9770746	0.145962746
0.0098	0	1.666087274	1.049809851	181.976597	0.14596197
0.01	0	1.666089055	1.04980597	181.9761194	0.145961194
0.01	0	1.666089055	1.04980597	181.9761194	0.145961194
0.0204	0.672531068	1.666181672	1.049604179	181.9512836	0.145920836
0.0308	1.738430014	1.666274289	1.049402388	181.9264478	0.145880478
0.0412	2.804328998	1.666366906	1.049200597	181.9016119	0.145840119
0.0516	3.870228154	1.666459522	1.048998806	181.8767761	0.145799761
0.062	4.936127614	1.666552139	1.048797015	181.8519403	0.145759403
0.0724	6.00202751	1.666644756	1.048595224	181.8271045	0.145719045
0.0828	7.067927977	1.666737373	1.048393433	181.8022687	0.145678686
0.0932	8.133829145	1.66682999	1.048191642	181.7774328	0.145638328
0.1036	8.829811887	1.666922607	1.047989851	181.752597	0.14559797
0.114	8.827059165	1.667015224	1.04778806	181.7277612	0.145557612
0.1244	8.824307365	1.667107841	1.047586269	181.7029254	0.145517253
0.1348	8.821556486	1.667200458	1.047384478	181.6780896	0.145476895
0.1452	8.818806529	1.667293075	1.047182687	181.6532537	0.145436537
0.1556	8.816057494	1.667385692	1.046980896	181.6284179	0.145396179
0.166	8.81330938	1.667478309	1.046779105	181.6035821	0.14535582
0.1764	8.810562188	1.667570925	1.046577313	181.5787463	0.145315462
0.1868	8.807815917	1.667663542	1.046375522	181.5539104	0.145275104
0.1972	8.805070567	1.667756159	1.046173731	181.5290746	0.145234746
0.2076	8.802326139	1.667848776	1.04597194	181.5042388	0.145194387
0.218	8.799582632	1.667941393	1.045770149	181.479403	0.145154029
0.2284	8.796840046	1.66803401	1.045568358	181.4545672	0.145113671
0.2388	8.794098382	1.668126627	1.045366567	181.4297313	0.145073313
0.2492	8.791357638	1.668219244	1.045164776	181.4048955	0.145032955
0.2596	8.788617816	1.668311861	1.044962985	181.3800597	0.144992596
0.27	8.785878914	1.668404478	1.044761194	181.3552239	0.144952238
0.2804	8.783140933	1.668497095	1.044559403	181.3303881	0.14491188
0.2908	8.780403873	1.668589711	1.044357612	181.3055522	0.144871522
0.3012	8.777667734	1.668682328	1.044155821	181.2807164	0.144831163
0.3116	8.774932515	1.668774945	1.04395403	181.2558806	0.144790805
0.322	8.772198217	1.668867562	1.043752239	181.2310448	0.144750447
0.3324	8.769464839	1.668960179	1.043550448	181.206209	0.144710089
0.3428	8.766732381	1.669052796	1.043348657	181.1813731	0.14466973
0.3532	8.764000844	1.669145413	1.043146866	181.1565373	0.144629372
0.3636	8.761270227	1.66923803	1.042945075	181.1317015	0.144589014
0.374	8.75854053	1.669330647	1.042743284	181.1068657	0.144548656
0.3844	8.755811753	1.669423264	1.042541493	181.0820299	0.144508297
0.3948	8.753083896	1.669515881	1.042339702	181.057194	0.144467939
0.4052	8.750356959	1.669608498	1.04213791	181.0323582	0.144427581
0.4156	8.747630941	1.669701114	1.041936119	181.0075224	0.144387223
0.426	8.744905843	1.669793731	1.041734328	180.9826866	0.144346864
0.4364	8.742181664	1.669886348	1.041532537	180.9578507	0.144306506
0.4468	8.739458405	1.669978965	1.041330746	180.9330149	0.144266148
0.4572	8.736736065	1.670071582	1.041128955	180.9081791	0.14422579
0.4676	8.734014644	1.670164199	1.040927164	180.8833433	0.144185431
0.478	8.731294143	1.670256816	1.040725373	180.8585075	0.144145073
0.4884	8.72857456	1.670349433	1.040523582	180.8336716	0.144104715
0.4988	8.725855896	1.67044205	1.040321791	180.8088358	0.144064357
0.5092	8.723994395	1.670534667	1.04012	180.784	0.144023999
0.5196	8.722245496	1.670627284	1.039918209	180.7591642	0.14398364
0.53	8.720497517	1.670719901	1.039716418	180.7343284	0.143943282
0.53	8.720497517	1.670719901	1.039716418	180.7343284	0.143943282
0.539785	8.718853741	1.670807041	1.03952656	180.7109612	0.14390531
0.54957	8.717210778	1.670894181	1.039336702	180.687594	0.143867339
0.559355	8.715568626	1.670981321	1.039146843	180.6642269	0.143829367
0.56914	8.713927286	1.671068461	1.038956985	180.6408597	0.143791395
0.578925	8.712286759	1.671155601	1.038767127	180.6174925	0.143753424
0.58871	8.710647043	1.671242741	1.038577269	180.5941254	0.143715452
0.598495	8.709008139	1.671329881	1.03838741	180.5707582	0.14367748
0.60828	8.707370048	1.671417021	1.038197552	180.547391	0.143639509
0.618065	8.705732768	1.671504161	1.038007694	180.5240239	0.143601537
0.62785	8.7040963	1.671591301	1.037817836	180.5006567	0.143563565
0.637635	8.702460644	1.671678441	1.037627978	180.4772896	0.143525594
0.64742	8.7008258	1.671765581	1.037438119	180.4539224	0.143487622
0.657205	8.699191767	1.671852721	1.037248261	180.4305552	0.14344965
0.66699	8.697558547	1.671939861	1.037058403	180.4071881	0.143411679
0.676775	8.695926138	1.672027001	1.036868545	180.3838209	0.143373707
0.68656	8.694294542	1.672114141	1.036678687	180.3604537	0.143335735
0.696345	8.692663757	1.672201281	1.036488828	180.3370866	0.143297764
0.70613	8.691033783	1.672288421	1.03629897	180.3137194	0.143259792
0.715915	8.689404622	1.672375561	1.036109112	180.2903522	0.14322182
0.7257	8.687776272	1.672462702	1.035919254	180.2669851	0.143183849
0.735485	8.686148734	1.672549842	1.035729396	180.2436179	0.143145877
0.74527	8.684522008	1.672636982	1.035539537	180.2202507	0.143107905
0.755055	8.682896093	1.672724122	1.035349679	180.1968836	0.143069934
0.76484	8.68127099	1.672811262	1.035159821	180.1735164	0.143031962
0.774625	8.679646698	1.672898402	1.034969963	180.1501493	0.14299399
0.78441	8.678023218	1.672985542	1.034780105	180.1267821	0.142956019
0.794195	8.676400549	1.673072682	1.034590246	180.1034149	0.142918047
0.80398	8.674778692	1.673159822	1.034400388	180.0800478	0.142880075
0.813765	8.673157646	1.673246962	1.03421053	180.0566806	0.142842104
0.82355	8.671537412	1.673334102	1.034020672	180.0333134	0.142804132
0.833335	8.669917988	1.673421242	1.033830813	180.0099463	0.14276616
0.84312	8.668299377	1.673508382	1.033640955	179.9865791	0.142728189
0.852905	8.666681576	1.673595522	1.033451097	179.9632119	0.142690217
0.86269	8.665064586	1.673682662	1.033261239	179.9398448	0.142652245
0.872475	8.663448408	1.673769802	1.033071381	179.9164776	0.142614274
0.88226	8.661833041	1.673856942	1.032881522	179.8931104	0.142576302
0.892045	8.660218484	1.673944082	1.032691664	179.8697433	0.14253833
0.90183	8.658604739	1.674031222	1.032501806	179.8463761	0.142500359
0.911615	8.656991805	1.674118362	1.032311948	179.823009	0.142462387
0.9214	8.655379681	1.674205503	1.03212209	179.7996418	0.142424415
0.931185	8.653768368	1.674292643	1.031932231	179.7762746	0.142386444
0.94097	8.652157866	1.674379783	1.031742373	179.7529075	0.142348472
0.950755	8.650548175	1.674466923	1.031552515	179.7295403	0.1423105
0.96054	8.648939294	1.674554063	1.031362657	179.7061731	0.142272529
0.970325	8.647331224	1.674641203	1.031172799	179.682806	0.142234557
0.98011	8.645723964	1.674728343	1.03098294	179.6594388	0.142196585
