Time(s)	Alt(km)	Dyn_Pres	Accel	Speed(km/s)	Mach	Pitch_Rate	Roll_Rate	Yaw_Rate
0	0.001659216	0	9.819267903	0	0	0	0	0
0.0002	0.001659216	0	9.819267903	0	0	0	0	0
0.0004	0.001659216	0	9.819267903	0	0	0	0	0
0.0006	0.001659216	0	9.819267903	0	0	0	0	0
0.0008	0.001659216	0	9.819267903	0	0	0	0	0
0.001	0.001659216	0	9.819267903	0	0	0	0	0
0.0012	0.001659216	0	9.819267903	0	0	0	0	0
0.0014	0.001659216	0	9.819267903	0	0	0	0	0
0.0016	0.001659216	0	9.819267903	0	0	0	0	0
0.0018	0.001659216	0	9.819267903	0	0	0	0	0
0.002	0.001659216	0	9.819267903	0	0	0	0	0
0.0022	0.001659216	0	9.819267903	0	0	0	0	0
0.0024	0.001659216	0	9.819267903	0	0	0	0	0
0.0026	0.001659216	0	9.819267903	0	0	0	0	0
0.0028	0.001659216	0	9.819267903	0	0	0	0	0
0.003	0.001659216	0	9.819267903	0	0	0	0	0
0.0032	0.001659216	0	9.819267903	0	0	0	0	0
0.0034	0.001659216	0	9.819267903	0	0	0	0	0
0.0036	0.001659216	0	9.819267903	0	0	0	0	0
0.0038	0.001659216	0	9.819267903	0	0	0	0	0
0.004	0.001659216	0	9.819267903	0	0	0	0	0
0.0042	0.001659216	0	9.819267903	0	0	0	0	0
0.0044	0.001659216	0	9.819267903	0	0	0	0	0
0.0046	0.001659216	0	9.819267903	0	0	0	0	0
0.0048	0.001659216	0	9.819267903	0	0	0	0	0
0.005	0.001659216	0	9.819267903	0	0	0	0	0
0.0052	0.001659216	0	9.819267903	0	0	0	0	0
0.0054	0.001659216	0	9.819267903	0	0	0	0	0
0.0056	0.001659216	0	9.819267903	0	0	0	0	0
0.0058	0.001659216	0	9.819267903	0	0	0	0	0
0.006	0.001659216	0	9.819267903	0	0	0	0	0
0.0062	0.001659216	0	9.819267903	0	0	0	0	0
0.0064	0.001659216	0	9.819267903	0	0	0	0	0
0.0066	0.001659216	0	9.819267903	0	0	0	0	0
