Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,146,0,0,0,0
0.05,5.3338e-06,6.0965e-05,0.447,0.0013139,3706,15.48,146,3.8806,122.98,0.38,0.00012288
0.1,2.1719e-05,0.00024825,1.224,0.0035977,8830.5,50.526,145.81,3.8806,245.95,0.38,0.0001224
0.15,4.9152e-05,0.00056182,3.7599,0.011052,8817.3,50.515,145.61,3.8806,245.63,0.38,0.00091769
0.2,8.7633e-05,0.0010016,6.2953,0.018505,8804.1,50.504,145.42,3.8806,245.32,0.38,0.0086597
0.25,0.00013716,0.0015677,8.8302,0.025956,8790.9,50.492,145.22,3.8806,245,0.38,0.024275
0.3,0.00019772,0.00226,11.364,0.033405,8777.7,50.48,145.03,3.8806,244.68,0.38001,0.047758
0.35,0.00026932,0.0030784,13.898,0.040853,8764.6,50.467,144.84,3.8806,244.36,0.38001,0.0791
0.4,0.00035196,0.004023,16.431,0.048299,8751.5,50.453,144.64,3.8806,244.04,0.38001,0.11829
0.45,0.00044563,0.0050936,18.963,0.055744,8738.4,50.439,144.45,3.8806,243.73,0.38002,0.16532
0.5,0.00055033,0.0062903,21.495,0.063186,8725.3,50.425,144.25,3.8806,243.41,0.38002,0.22019
0.55,0.00066607,0.0076132,24.026,0.070627,8716.9,50.442,144.06,3.8806,243.2,0.38003,0.28287
0.6,0.00079283,0.0090621,26.558,0.07807,8708.5,50.458,143.87,3.8806,243,0.38004,0.35335
0.65,0.00093064,0.010637,29.09,0.085517,8700.2,50.474,143.67,3.8806,242.79,0.38004,0.43169
0.7,0.0010828,0.012339,31.623,0.092966,8691.9,50.489,143.48,3.8806,242.58,0.38005,0.51787
0.75,0.0012495,0.014166,34.163,0.10043,8683.5,50.494,143.28,3.8806,242.38,0.38006,0.61189
0.8,0.001431,0.01612,36.704,0.10791,8675.2,50.499,143.09,3.8806,242.17,0.38007,0.714
0.85,0.0016275,0.0182,39.245,0.11538,8667,50.504,142.9,3.8806,241.96,0.38008,0.824
0.9,0.0018391,0.020407,41.788,0.12286,8658.7,50.508,142.7,3.8806,241.76,0.38009,0.94187
0.95,0.0020661,0.022739,44.33,0.13034,8650.5,50.513,142.51,3.8806,241.55,0.3801,1.0676
1,0.0023086,0.025198,46.874,0.13782,8642.3,50.517,142.31,3.8806,241.34,0.38011,1.2012
1.05,0.0025668,0.027784,49.418,0.1453,8635.5,50.531,142.12,3.8806,241.17,0.38012,1.3427
1.1,0.0028408,0.030495,51.963,0.15279,8628.7,50.545,141.93,3.8806,241,0.38013,1.492
1.15,0.0031308,0.033333,54.509,0.16028,8621.9,50.558,141.73,3.8806,240.83,0.38015,1.6493
1.2,0.003437,0.036298,57.057,0.16778,8615.2,50.571,141.54,3.8806,240.65,0.38016,1.8144
1.25,0.0037595,0.039389,59.605,0.17528,8608.5,50.584,141.34,3.8806,240.48,0.38017,1.9873
1.3,0.0040984,0.042606,62.154,0.18278,8601.8,50.597,141.15,3.8806,240.31,0.38019,2.1682
1.35,0.0044539,0.04595,64.705,0.19029,8595.1,50.609,140.96,3.8806,240.13,0.3802,2.3569
1.4,0.0048261,0.049421,67.256,0.1978,8588.5,50.621,140.76,3.8806,239.96,0.38022,2.5534
1.45,0.0052151,0.053018,69.808,0.20531,8581.8,50.633,140.57,3.8806,239.79,0.38024,2.7579
1.5,0.0056211,0.056741,72.361,0.21283,8575.2,50.644,140.37,3.8806,239.61,0.38025,2.9701
1.55,0.0060441,0.060592,74.915,0.22035,8569.6,50.662,140.18,3.8806,239.46,0.38027,3.1902
1.6,0.0064843,0.064569,77.471,0.22788,8564.1,50.68,139.99,3.8806,239.32,0.38029,3.4181
1.65,0.0069418,0.068673,80.027,0.23541,8558.5,50.698,139.79,3.8806,239.17,0.38031,3.6538
1.7,0.0074167,0.072903,82.585,0.24295,8553,50.715,139.6,3.8806,239.02,0.38033,3.8974
1.75,0.0079092,0.077261,85.143,0.25049,8547.5,50.731,139.4,3.8806,238.87,0.38035,4.1488
1.8,0.0084193,0.081745,87.703,0.25803,8542,50.748,139.21,3.8806,238.72,0.38037,4.4081
1.85,0.0089471,0.086356,90.264,0.26558,8536.6,50.763,139.01,3.8806,238.57,0.38039,4.6751
1.9,0.0094927,0.091094,92.826,0.27313,8531.1,50.779,138.82,3.8806,238.42,0.38041,4.9499
1.95,0.010056,0.095959,95.389,0.28069,8525.7,50.794,138.63,3.8806,238.27,0.38044,5.2325
2,0.010638,0.10095,97.953,0.28825,8520.3,50.808,138.43,3.8806,238.12,0.38046,5.5229
2.05,0.011238,0.10607,100.52,0.29581,8515.7,50.828,138.24,3.8806,237.99,0.38048,5.821
2.1,0.011856,0.11132,103.08,0.30338,8511.1,50.848,138.04,3.8806,237.86,0.38051,6.1268
2.15,0.012492,0.11669,105.65,0.31096,8506.6,50.867,137.85,3.8806,237.73,0.38053,6.4404
2.2,0.013147,0.12219,108.22,0.31854,8502,50.885,137.66,3.8806,237.6,0.38056,6.7617
2.25,0.01382,0.12782,110.79,0.32613,8497.5,50.903,137.46,3.8806,237.47,0.38059,7.0907
2.3,0.014512,0.13357,113.36,0.33372,8493,50.921,137.27,3.8806,237.34,0.38061,7.4275
2.35,0.015222,0.13946,115.93,0.34131,8488.6,50.938,137.07,3.8806,237.21,0.38064,7.7719
2.4,0.015951,0.14547,118.51,0.34891,8484.1,50.955,136.88,3.8806,237.08,0.38067,8.124
2.45,0.0167,0.1516,121.08,0.35651,8479.7,50.971,136.69,3.8806,236.95,0.3807,8.4837
2.5,0.017467,0.15787,123.66,0.36412,8475.2,50.987,136.49,3.8806,236.82,0.38073,8.8511
2.55,0.018253,0.16426,126.23,0.37174,8471.5,51.007,136.3,3.8806,236.7,0.38076,9.226
2.6,0.019058,0.17078,128.81,0.37936,8467.7,51.026,136.1,3.8806,236.59,0.38079,9.6086
2.65,0.019882,0.17743,131.39,0.38698,8463.9,51.045,135.91,3.8806,236.47,0.38082,9.9987
2.7,0.020726,0.1842,133.97,0.39461,8460.2,51.064,135.72,3.8806,236.36,0.38085,10.396
2.75,0.021588,0.19111,136.55,0.40224,8456.5,51.082,135.52,3.8806,236.24,0.38088,10.802
2.8,0.022471,0.19814,139.13,0.40988,8452.8,51.1,135.33,3.8806,236.13,0.38092,11.214
2.85,0.023373,0.2053,141.72,0.41753,8449.2,51.117,135.13,3.8806,236.01,0.38095,11.635
2.9,0.024294,0.21258,144.3,0.42518,8445.5,51.134,134.94,3.8806,235.89,0.38099,12.062
2.95,0.025235,0.22,146.89,0.43283,8441.9,51.15,134.75,3.8806,235.78,0.38102,12.498
3,0.026196,0.22754,149.47,0.44049,8438.3,51.166,134.55,3.8806,235.66,0.38106,12.94
3.05,0.027176,0.23521,152.06,0.44815,8435.2,51.185,134.36,3.8806,235.56,0.38109,13.39
3.1,0.028176,0.24301,154.65,0.45582,8432.1,51.204,134.16,3.8806,235.45,0.38113,13.848
3.15,0.029196,0.25093,157.24,0.4635,8429.1,51.222,133.97,3.8806,235.35,0.38117,14.312
3.2,0.030237,0.25899,159.83,0.47118,8426,51.24,133.78,3.8806,235.25,0.3812,14.784
3.25,0.031297,0.26717,162.42,0.47887,8423,51.257,133.58,3.8806,235.14,0.38124,15.264
3.3,0.032377,0.27548,165.02,0.48656,8420,51.274,133.39,3.8806,235.04,0.38128,15.75
3.35,0.033478,0.28392,167.61,0.49425,8417.1,51.29,133.19,3.8806,234.93,0.38132,16.244
3.4,0.034598,0.29249,170.21,0.50196,8414.1,51.306,133,3.8806,234.83,0.38136,16.745
3.45,0.035739,0.30118,172.8,0.50966,8411.2,51.322,132.81,3.8806,234.73,0.38134,17.254
3.5,0.036901,0.31001,175.4,0.51737,8408.3,51.338,132.61,3.8806,234.62,0.38112,17.769
3.55,0.038083,0.31896,178,0.52509,8405.8,51.357,132.42,3.8806,234.53,0.3809,18.292
3.6,0.039285,0.32804,180.6,0.53281,8403.3,51.376,132.22,3.8806,234.43,0.38068,18.821
3.65,0.040508,0.33725,183.2,0.54054,8400.8,51.394,132.03,3.8806,234.34,0.38046,19.358
3.7,0.041752,0.34659,185.8,0.54828,8398.4,51.412,131.84,3.8806,234.24,0.38024,19.902
3.75,0.043016,0.35605,188.4,0.55602,8396,51.429,131.64,3.8806,234.15,0.38001,20.452
3.8,0.044301,0.36565,191,0.56376,8393.6,51.446,131.45,3.8806,234.06,0.37979,21.01
3.85,0.045607,0.37537,193.61,0.57151,8391.2,51.463,131.25,3.8806,233.96,0.37957,21.575
3.9,0.046934,0.38522,196.21,0.57927,8388.9,51.479,131.06,3.8806,233.87,0.37935,22.146
3.95,0.048281,0.3952,198.82,0.58703,8386.5,51.495,130.87,3.8806,233.77,0.37913,22.725
4,0.04965,0.40531,201.43,0.5948,8384.2,51.511,130.67,3.8806,233.68,0.37891,23.31
4.05,0.05104,0.41555,204.04,0.60257,8382.3,51.529,130.48,3.8806,233.59,0.37869,23.902
4.1,0.052451,0.42592,206.65,0.61035,8380.3,51.546,130.28,3.8806,233.51,0.37847,24.501
4.15,0.053883,0.43641,209.26,0.61813,8378.4,51.563,130.09,3.8806,233.42,0.37825,25.106
4.2,0.055336,0.44704,211.87,0.62593,8376.5,51.58,129.9,3.8806,233.33,0.37803,25.719
4.25,0.05681,0.45779,214.48,0.63372,8374.6,51.597,129.7,3.8806,233.25,0.3778,26.337
4.3,0.058306,0.46868,217.1,0.64152,8372.8,51.613,129.51,3.8806,233.16,0.37758,26.963
4.35,0.059823,0.47969,219.71,0.64933,8370.9,51.629,129.31,3.8806,233.07,0.37736,27.595
4.4,0.061362,0.49083,222.33,0.65715,8369.1,51.644,129.12,3.8806,232.99,0.37714,28.233
4.45,0.062922,0.5021,224.94,0.66497,8367.3,51.659,128.93,3.8806,232.9,0.37692,28.878
4.5,0.064504,0.5135,227.56,0.67279,8365.5,51.674,128.73,3.8806,232.82,0.3767,29.53
4.55,0.066107,0.52503,230.18,0.68062,8364,51.691,128.54,3.8806,232.74,0.37647,30.187
4.6,0.067732,0.53669,232.8,0.68846,8362.6,51.707,128.34,3.8806,232.66,0.37625,30.852
4.65,0.069379,0.54848,235.42,0.6963,8361.1,51.723,128.15,3.8806,232.58,0.37603,31.522
4.7,0.071047,0.56039,238.04,0.70415,8359.7,51.739,127.96,3.8806,232.5,0.37581,32.199
4.75,0.072737,0.57244,240.66,0.71201,8358.3,51.755,127.76,3.8806,232.42,0.37559,32.882
4.8,0.074449,0.58461,243.29,0.71987,8356.9,51.77,127.57,3.8806,232.34,0.37536,33.571
4.85,0.076183,0.59692,245.91,0.72773,8355.5,51.785,127.37,3.8806,232.26,0.37514,34.266
4.9,0.077939,0.60935,248.53,0.73561,8354.2,51.799,127.18,3.8806,232.18,0.37492,34.967
4.95,0.079717,0.62192,251.16,0.74349,8352.8,51.814,126.99,3.8806,232.1,0.3747,35.675
5,0.081517,0.63461,253.79,0.75137,8351.5,51.828,126.79,3.8806,232.02,0.37447,36.388
5.05,0.083339,0.64744,256.41,0.75926,8350.5,51.844,126.6,3.8806,231.95,0.37425,37.107
