Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,306,0,0,0,0
1,0.0032685,0.035003,65.153,0.19158,22942,66.91,296.48,10.019,262.63,0.43516,2.329
2,0.014466,0.1379,131.64,0.38755,22001,65.326,286.46,10.019,252.71,0.43006,9.9644
3,0.034419,0.30619,197.39,0.58222,21539,64.869,276.44,10.019,247.44,0.42447,22.433
4,0.063627,0.53937,262.76,0.77708,21249,64.588,266.42,10.019,243.73,0.41799,39.206
5,0.10245,0.83698,327.56,0.97203,21045,62.811,256.41,10.019,240.7,0.49408,59.528
6,0.15098,1.1972,389.66,1.1612,20891,60.251,246.39,10.019,238.01,0.55446,81.649
7,0.20918,1.6177,449.99,1.3475,20764,58.794,236.37,10.019,235.45,0.54841,104.73
8,0.27706,2.0969,508.9,1.5325,20659,57.52,226.35,10.019,233,0.53911,127.94
9,0.35468,2.6337,567.21,1.7191,20564,57.584,216.33,10.019,230.57,0.50744,150.75
10,0.44223,3.2282,625.94,1.9107,20472,58.359,206.31,10.019,228.1,0.47493,172.91
11,0.54001,3.8812,685.82,2.1103,20380,59.716,196.29,10.019,225.57,0.44526,194.1
12,0.64839,4.594,747.32,2.3201,20284,61.696,186.27,10.019,222.99,0.41849,213.88
13,0.76783,5.3687,811.34,2.5437,20175,64.72,176.25,10.019,220.26,0.38998,232.03
14,0.89897,6.2085,879.06,2.7861,20057,69.073,166.23,10.019,217.46,0.3591,248.44
15,1.0427,7.1177,951.97,3.0538,19932,74.889,156.22,10.019,214.61,0.32666,263.11
16,1.1951,8.0734,962.76,3.1287,0,-53.22,148.2,0,0,0.35554,244.3
17,1.3432,8.995,912.72,3.0044,0,-45.996,148.2,0,0,0.36807,196.71
18,1.4855,9.8707,869.11,2.8969,0,-40.504,148.2,0,0,0.38324,160.27
19,1.6228,10.706,830.59,2.8025,0,-35.955,148.2,0,0,0.39691,131.85
20,1.7558,11.506,796.33,2.6994,0,-32.007,148.2,0,0,0.4116,107.98
21,1.8851,12.273,765.82,2.596,0,-28.648,148.2,0,0,0.42657,88.473
