Time(s),x(km),y(km),Velocity(m/s),Mach,Thrust(N),Acceleration(m/s2),Mass(kg),mdot(kg/s),Isp(s),Cd,DynPres(kPa)
0,0,0,0.447,0,0,0,306,0,0,0,0
0.05,9.4145e-06,0.00010761,0.447,0.0013139,13498,34.137,306,10.019,166.62,0.43996,0.00012288
0.1,2.9343e-05,0.0003354,2.1604,0.0063502,17750,48.072,305.5,10.019,209.89,0.43996,0.0001224
0.15,6.2844e-05,0.00071831,4.5732,0.013442,22001,62.052,305,10.019,253.16,0.43983,0.002859
0.2,0.00011299,0.0012914,7.6876,0.022597,26252,76.077,304.5,10.019,296.43,0.43964,0.012811
0.25,0.00017959,0.0020528,11.506,0.033821,25972,75.294,304,10.019,293.57,0.4394,0.036199
0.3,0.0002625,0.0030004,15.285,0.04493,25691,74.507,303.5,10.019,290.72,0.4391,0.081084
0.35,0.00036153,0.0041323,19.025,0.055923,25411,73.716,302.99,10.019,287.86,0.4388,0.14308
0.4,0.00047651,0.0054465,22.725,0.0668,25131,72.921,302.49,10.019,285,0.43851,0.22163
0.45,0.00060732,0.0069417,26.385,0.07756,24939,72.413,301.99,10.019,283.04,0.43822,0.31618
0.5,0.00075387,0.0086167,30.019,0.088245,24747,71.903,301.49,10.019,281.09,0.43793,0.42617
0.55,0.00091602,0.01047,33.628,0.098856,24555,71.389,300.99,10.019,279.13,0.43765,0.55157
0.6,0.0010977,0.012501,37.211,0.10939,24364,70.872,300.49,10.019,277.17,0.43736,0.69204
0.65,0.0012991,0.014708,40.775,0.11987,24225,70.515,299.99,10.019,275.76,0.43708,0.84721
0.7,0.0015203,0.01709,44.322,0.1303,24087,70.157,299.49,10.019,274.34,0.4368,1.0171
0.75,0.0017615,0.019647,47.852,0.14068,23949,69.797,298.99,10.019,272.93,0.43653,1.2014
0.8,0.0020227,0.022377,51.363,0.15101,23811,69.436,298.49,10.019,271.51,0.43625,1.4
0.85,0.002304,0.02528,54.858,0.16129,23593,68.808,297.98,10.019,269.29,0.43597,1.6127
0.9,0.0026054,0.028353,58.321,0.17148,23376,68.178,297.48,10.019,267.07,0.4357,1.839
0.95,0.002927,0.031594,61.752,0.18158,23159,67.545,296.98,10.019,264.85,0.43543,2.0779
1,0.0032685,0.035003,65.153,0.19158,22942,66.91,296.48,10.019,262.63,0.43516,2.329
1.05,0.0036303,0.038579,68.522,0.2015,22874,66.773,295.98,10.019,261.92,0.43489,2.5917
1.1,0.0040124,0.042322,71.884,0.21139,22805,66.634,295.48,10.019,261.21,0.43463,2.8656
1.15,0.0044148,0.046231,75.24,0.22127,22737,66.493,294.98,10.019,260.51,0.43436,3.1526
1.2,0.0048378,0.050305,78.589,0.23113,22669,66.352,294.48,10.019,259.8,0.4341,3.4525
1.25,0.0052813,0.054546,81.931,0.24097,22615,66.258,293.98,10.019,259.24,0.43384,3.7652
1.3,0.0057455,0.058951,85.268,0.2508,22562,66.162,293.48,10.019,258.68,0.43358,4.0906
1.35,0.0062305,0.063522,88.602,0.26062,22508,66.066,292.98,10.019,258.12,0.43331,4.4288
1.4,0.0067363,0.068258,91.93,0.27043,22455,65.968,292.47,10.019,257.56,0.43305,4.7797
1.45,0.0072632,0.073158,95.254,0.28022,22411,65.901,291.97,10.019,257.1,0.43279,5.1433
1.5,0.007811,0.078224,98.575,0.29,22366,65.832,291.47,10.019,256.63,0.43253,5.5193
1.55,0.00838,0.083453,101.89,0.29978,22322,65.762,290.97,10.019,256.16,0.43227,5.908
1.6,0.0089702,0.088847,105.21,0.30955,22278,65.691,290.47,10.019,255.7,0.43201,6.3092
1.65,0.0095817,0.094405,108.52,0.31932,22244,65.649,289.97,10.019,255.32,0.43176,6.7229
1.7,0.010215,0.10013,111.83,0.32908,22209,65.606,289.47,10.019,254.95,0.43152,7.1489
1.75,0.010869,0.10601,115.14,0.33883,22174,65.563,288.97,10.019,254.58,0.43128,7.5874
1.8,0.011545,0.11206,118.44,0.34858,22139,65.518,288.47,10.019,254.2,0.43103,8.0383
1.85,0.012243,0.11828,121.74,0.35833,22104,65.471,287.97,10.019,253.83,0.43079,8.5015
1.9,0.012962,0.12465,125.05,0.36807,22070,65.424,287.46,10.019,253.45,0.43054,8.977
1.95,0.013703,0.13119,128.35,0.37781,22035,65.376,286.96,10.019,253.08,0.4303,9.4646
2,0.014466,0.1379,131.64,0.38755,22001,65.326,286.46,10.019,252.71,0.43006,9.9644
